X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 579.52;11240.000;    0.000;    0.000
 579.68;18028.000;    0.000;    0.000
 579.84;10276.000;    0.000;    0.000
 580.00;12352.000;    0.000;    0.000
 580.16;11012.000;    0.000;    0.000
 580.32;17960.000;    0.000;    0.000
 580.48; 7192.000;    0.000;    0.000
 580.65;22588.000;    0.000;    0.000
 580.81;10652.000;    0.000;    0.000
 580.97;13728.000;    0.000;    0.000
 581.13;15120.000;    0.000;    0.000
 581.29;10192.000;    0.000;    0.000
 581.45;10140.000;    0.000;    0.000
 581.61;13964.000;    0.000;    0.000
 581.77;12732.000;    0.000;    0.000
 581.94;12176.000;    0.000;    0.000
 582.10;20836.000;    0.000;    0.000
 582.26;22064.000;    0.000;    0.000
 582.42; 9920.000;    0.000;    0.000
 582.58;12608.000;    0.000;    0.000
 582.74;13748.000;    0.000;    0.000
 582.90;13236.000;    0.000;    0.000
 583.06;13120.000;    0.000;    0.000
 583.22;14476.000;    0.000;    0.000
 583.38;18016.000;    0.000;    0.000
 583.55;13496.000;    0.000;    0.000
 583.71;14612.000;    0.000;    0.000
 583.87;19500.000;    0.000;    0.000
 584.03;16260.000;    0.000;    0.000
 584.19;15844.000;    0.000;    0.000
 584.35; 8876.000;    0.000;    0.000
 584.51;16648.000;    0.000;    0.000
 584.67;15124.000;    0.000;    0.000
 584.83;13904.000;    0.000;    0.000
 584.99;12560.000;    0.000;    0.000
 585.16;15660.000;    0.000;    0.000
 585.32;23032.000;    0.000;    0.000
 585.48;15136.000;    0.000;    0.000
 585.64;15756.000;    0.000;    0.000
 585.80;12572.000;    0.000;    0.000
 585.96;19676.000;    0.000;    0.000
 586.12;15008.000;    0.000;    0.000
 586.28;21376.000;    0.000;    0.000
 586.44;11012.000;    0.000;    0.000
 586.60;20528.000;    0.000;    0.000
 586.77;12200.000;    0.000;    0.000
 586.93;18500.000;    0.000;    0.000
 587.09;13744.000;    0.000;    0.000
 587.25;17072.000;    0.000;    0.000
 587.41;15356.000;    0.000;    0.000
 587.57;21300.000;    0.000;    0.000
 587.73;15124.000;    0.000;    0.000
 587.89;19424.000;    0.000;    0.000
 588.05;24740.000;    0.000;    0.000
 588.21;12616.000;    0.000;    0.000
 588.37;19380.000;    0.000;    0.000
 588.53;21604.000;    0.000;    0.000
 588.70;18848.000;    0.000;    0.000
 588.86;19080.000;    0.000;    0.000
 589.02;17632.000;    0.000;    0.000
 589.18;16360.000;    0.000;    0.000
 589.34;22380.000;    0.000;    0.000
 589.50;15044.000;    0.000;    0.000
 589.66;22976.000;    0.000;    0.000
