X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 586.28;20568.000;    0.000;    0.000
 586.44;10548.000;    0.000;    0.000
 586.60;19404.000;    0.000;    0.000
 586.77;11536.000;    0.000;    0.000
 586.93;17528.000;    0.000;    0.000
 587.09;12808.000;    0.000;    0.000
 587.25;16160.000;    0.000;    0.000
 587.41;14536.000;    0.000;    0.000
 587.57;20016.000;    0.000;    0.000
 587.73;13944.000;    0.000;    0.000
 587.89;18256.000;    0.000;    0.000
 588.05;22740.000;    0.000;    0.000
 588.21;11832.000;    0.000;    0.000
 588.37;17820.000;    0.000;    0.000
 588.53;19776.000;    0.000;    0.000
 588.70;17424.000;    0.000;    0.000
 588.86;17104.000;    0.000;    0.000
 589.02;15720.000;    0.000;    0.000
 589.18;14632.000;    0.000;    0.000
 589.34;20284.000;    0.000;    0.000
 589.50;13100.000;    0.000;    0.000
 589.66;20608.000;    0.000;    0.000
 589.82;18568.000;    0.000;    0.000
 589.98;17956.000;    0.000;    0.000
 590.14;14452.000;    0.000;    0.000
 590.30;10976.000;    0.000;    0.000
 590.46;16656.000;    0.000;    0.000
 590.62;19188.000;    0.000;    0.000
 590.78;11464.000;    0.000;    0.000
 590.95;17892.000;    0.000;    0.000
 591.11;18772.000;    0.000;    0.000
 591.27;15496.000;    0.000;    0.000
 591.43;15852.000;    0.000;    0.000
 591.59;21016.000;    0.000;    0.000
 591.75;20748.000;    0.000;    0.000
 591.91;17272.000;    0.000;    0.000
 592.07;20248.000;    0.000;    0.000
 592.23;19600.000;    0.000;    0.000
 592.39;19792.000;    0.000;    0.000
 592.55;16596.000;    0.000;    0.000
 592.71;16000.000;    0.000;    0.000
 592.87;15556.000;    0.000;    0.000
 593.03;15532.000;    0.000;    0.000
 593.19;15660.000;    0.000;    0.000
