J_Peri,,Sample 2,,Sample 3,,Sample 4_EX_290.00,,Sample 4_EX_295.00,,Sample 4_EX_305.00,,Sample 4_EX_315.00,,Sample 4_EX_325.00,,Sample 4_EX_335.00,,Sample 4_EX_345.00,,Sample 4_EX_355.00,,Sample 4_EX_365.00,,Sample 4_EX_375.00,,Sample 4_EX_385.00,,Sample 4_EX_395.00,,Sample 4_EX_405.00,,Sample 4_EX_415.00,,Sample 4_EX_425.00,,Sample 4_EX_435.00,,Sample 4_EX_445.00,,Sample 4_EX_455.00,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
493.9299927,7.694108009,493.9299927,384.3862305,493.9299927,494.8943787,493.9299927,299.6286621,493.9299927,363.128418,493.9299927,385.8952942,493.9299927,390.7651978,493.9299927,432.9430237,493.9299927,717.1294556,493.9299927,478.1751709,493.9299927,487.4466248,493.9299927,470.1113892,493.9299927,524.1603394,493.9299927,487.1810303,493.9299927,450.023468,493.9299927,393.7995911,493.9299927,370.7668152,493.9299927,371.3565674,493.9299927,379.6935425,493.9299927,383.397522,493.9299927,406.5669556
495,7.830682278,495,393.8763733,495,492.4515381,495,298.8565979,495,351.0150146,495,378.5308838,495,388.0805969,495,419.515625,495,726.4285278,495,484.0740967,495,486.2697754,495,476.4007874,495,522.482666,495,494.9571838,495,443.9327393,495,394.3737183,495,381.2384644,495,376.3518677,495,379.5379333,495,393.2293701,495,410.5455627
496.0599976,8.202905655,496.0599976,395.0374146,496.0599976,496.6163635,496.0599976,293.3681946,496.0599976,350.7165527,496.0599976,391.4383545,496.0599976,384.049469,496.0599976,401.4022217,496.0599976,726.1936035,496.0599976,483.5819397,496.0599976,470.5621948,496.0599976,477.868866,496.0599976,527.4182739,496.0599976,491.1126404,496.0599976,452.666748,496.0599976,393.6400452,496.0599976,390.3141174,496.0599976,377.0974426,496.0599976,389.6380005,496.0599976,398.9847717,496.0599976,412.8695068
496.9599915,8.32460022,496.9599915,401.5676575,496.9599915,500.4586487,496.9599915,293.5639038,496.9599915,348.2581787,496.9599915,384.6890564,496.9599915,390.6163025,496.9599915,407.8383484,496.9599915,689.1105347,496.9599915,463.3742676,496.9599915,474.211792,496.9599915,477.4807434,496.9599915,534.0737915,496.9599915,497.7225342,496.9599915,457.2879639,496.9599915,388.668396,496.9599915,382.8708801,496.9599915,387.0930176,496.9599915,388.3282166,496.9599915,403.9776306,496.9599915,420.4909668
498.0299988,8.482282639,498.0299988,407.5923767,498.0299988,496.4894409,498.0299988,292.6516113,498.0299988,344.7139893,498.0299988,383.272644,498.0299988,383.3100891,498.0299988,404.2016296,498.0299988,664.284668,498.0299988,448.1160889,498.0299988,485.6704407,498.0299988,481.0391235,498.0299988,534.576416,498.0299988,504.7128296,498.0299988,452.3941345,498.0299988,385.9267273,498.0299988,386.3777771,498.0299988,388.392395,498.0299988,392.4179993,498.0299988,412.5299988,498.0299988,428.9575195
498.9299927,8.523283958,498.9299927,417.3278198,498.9299927,505.0891724,498.9299927,287.2365723,498.9299927,335.8618774,498.9299927,369.3220215,498.9299927,370.4577026,498.9299927,413.8202515,498.9299927,638.3178711,498.9299927,460.1059875,498.9299927,483.5301819,498.9299927,478.2349854,498.9299927,534.2590942,498.9299927,496.7073364,498.9299927,461.2097168,498.9299927,391.0343018,498.9299927,392.5179138,498.9299927,394.4968262,498.9299927,396.9070129,498.9299927,418.9777222,498.9299927,424.5012512
500,8.822473526,500,420.131073,500,500.026886,500,281.1497803,500,333.2490845,500,375.0645752,500,371.3476868,500,418.658844,500,589.2423096,500,463.0354004,500,479.7679749,500,488.047699,500,536.5942993,500,490.366394,500,445.4137268,500,394.7438965,500,384.7255249,500,393.0994263,500,410.9678345,500,426.1417542,500,433.7814026
501.0400085,8.652908325,501.0400085,435.5047302,501.0400085,502.4039001,501.0400085,283.4663391,501.0400085,326.4579773,501.0400085,361.5326843,501.0400085,361.4072266,501.0400085,396.6264038,501.0400085,551.5845947,501.0400085,476.1895752,501.0400085,485.5748291,501.0400085,486.7382507,501.0400085,552.1627197,501.0400085,492.2223206,501.0400085,450.9784546,501.0400085,392.9120483,501.0400085,386.2764893,501.0400085,403.4062805,501.0400085,416.2991638,501.0400085,430.5446472,501.0400085,443.599823
501.9400024,8.549513817,501.9400024,436.7430725,501.9400024,509.5489502,501.9400024,273.3289795,501.9400024,313.7159424,501.9400024,362.1842957,501.9400024,362.0252075,501.9400024,396.7992249,501.9400024,516.1984863,501.9400024,466.1513672,501.9400024,485.5868835,501.9400024,482.7027283,501.9400024,539.288208,501.9400024,497.699707,501.9400024,454.8360291,501.9400024,390.1463623,501.9400024,397.0045776,501.9400024,402.7790833,501.9400024,418.3810425,501.9400024,441.2149658,501.9400024,449.2918091
502.980011,9.265728951,502.980011,443.9591064,502.980011,515.4819336,502.980011,274.6156006,502.980011,315.5203857,502.980011,356.4464417,502.980011,352.0575867,502.980011,386.6176758,502.980011,482.5034485,502.980011,454.7948914,502.980011,480.4043579,502.980011,484.6834106,502.980011,562.5090332,502.980011,494.1512756,502.980011,465.7266846,502.980011,398.2184143,502.980011,397.815155,502.980011,408.1798401,502.980011,427.8606262,502.980011,443.3634033,502.980011,449.8912048
